slang,normalisasi
100juta,100 juta
10bulan,10 bulan
11milyar,11 miliar
1jt,1 juta
1perampsan,1 perampasan
24karat,24 karat
2jaksa,2 jaksa
2rakyat,2 rakyat
3gratisin,3 gratiskan
3hari,3 hari
3jt,3 juta
3periode,3 periode
3xlipat,3 kali lipat
4turunkan,4 turunkan
5turunkan,5 turunkan
7jt,7 juta
7naikkan,7 naikkan
8turunkn,8 turunkan
a.p.h,aparat penegak hukum
abaekan,abaikan
abal2,abal-abal
abu2,abu-abu
ad,ada
ada.y,adanya
adaan,keadan
adallah,adalah
ade,adik
adek2,adik-adik
adik2,adik-adik
adik2,adik-adik 
adilan,keadilan
adl,adalah
adlah,adalah
administrafinya,administrasinya
adpirasi,aspirasi
agen2,agen-agen
aggt,anggota
agt,agustus
agts,agustus
ahus,haus
aj,saja
aja,saja
ajah,saja
ajalah,sajalah
aje,saja
ajh,saja
ajig,anjing
ajing,anjing
ajja,saja
akar2nya,akar-akarnya
akeh,banyak
akn,akan
aksi2,aksi-aksi
akyat,rakyat
alaikum,assalamualaikum
alasana,alasan
aleh2,alih-alih
all,semua
ama,sama
amaaan,aman
amiiitt,amit
aminn,aamiin
amnarkisyang,anarkis yang
ampe,sampai
anak2,anak-anak
anarkhis,anarkis
anarkidan,anarki dan
ane,aneh
aneh2,aneh-aneh
angap,anggap
angaran,anggaran
anget,hangat
anggauta,anggota
anggota2,anggota-anggota
anggotab,anggota
angota,anggota
anj,anjing
ank,anak
antarwaktu,antar waktu
antek2,antek-antek
antikritik,anti kritik 
ap,apa
apa2,apa-apa
apakakah,apakah
apalagiakin,apalagi akan
apasaja,apa saja
apdet,update
apus,hapus
aq,aku
arga,harga
artispun,artis pun
asal2,asal-asal
asal2an,asal-asalan
aset2,aset-aset
aset2asetnya,aset-asetnya
aset2nya,aset-asetnya
asetharta,aset harta
assalamu,assalamualaikum
asset,aset
ati,hati-hati
atip,aktif
ato,atau
atw,atau
ayokk,ayo
ayoo,ayo
ayooo,ayo
ayoooo,ayo
ayooooo,ayo
ayow,ayo
bab1,babi
bacot,omong kosong
bagi2,bagi-bagi
bagsimana,bagaimana
bagus2,bagus
bahan2,bahan-bahan
baiikk,baik
baik2,baik
bangbang,bambang
bangsaaat,bangsat
bangsattnya,bangsatnya
banjingan,bajingan
bantei,bantai
banyak2,banyak-banyak
bapak2,bapak-bapak
barada,berada
barang2nya,barang-barangnya
bawa2,bawa-bawa
bayak,banyak
bayang2,bayang-bayang
bayk,banyak
bazzer,buzzer
bbn,beban
bbrp,beberapa
bdemo,demo
bdoh,bodoh
bebagai,berbagai
beeet,banget
bego,bodoh
begoo,bego
bejalan,berjalan
bejuang,berjuang
belaja,belanja
belakangmuj,belakangmu
belapo,bravo
belom,belum
benar2,benar-benar
bener,benar
bener2,benar-benar
benguna,berguna
benik,bennix
bensinrp,bensin rp
bensinrp,benin rp 
berapiliasi,berafiliasi
berazaskan,berasaskan
beresss,beres
berfihak,berpihak
berfunsi,berfungsi
berhubungs,berhubung
berhujung,berujung
beritaa,berita
berkali2,berkali-kali
berkianat,berkhianat
berkuwlitas,berkualitas
berkwlitas,berkualitas
berlarut2,berlarut-larut
berlomba2,lomba
bermasarakat,bermasyarakat
bersama2,bersama-sama
bersatu,rakyat
bersenang2,bersenang-senang
bersih2,bersih-bersih
berstetmen,berstatment
berstu,bersatu
bertahun2,bertahun-tahun
bertanggungjawab,bertanggung jawab
bertangung,bertanggung
berti,berarti
bertubi2,bertubi-tubi
besae,besar
besar2,besar-besar
besar2an,besar-besaran
besatu,bersatu
betjuang,berjuang
betul2,betul-betul
bezaran,besaran
bg,bagi
bgini,begini
bgitu,begitu
bgmn,bagaimana
bgni,begini
bgs,bagus
bgt,banget
bgtu,begitu
bgus,bagus
bhan,bahan
bhkan,bahkan
bhw,bahwa
biar,supaya
biarkn,biarkan
bilah,bila
bingit,banget
bisa2nya,bisa-bisanya
biya,biaya
biyar,supaya
bkal,bakal
bkl,akan
bkn,bukan
bkr,bakar
blg,bilang
blm,belum
bln,bulan
blom,belum
blum,belum
bnar2,benar-benar
bnr,benar
bntk,bentuk
bnyak,banyak
bnyk,banyak
bodoh2,bodoh-bodoh
bodohkn,bodohkan
bohoongin,bohongin
bole,boleh
boleh2,boleh-boleh
bolo,teman
boloo,teman
boong,bohong
boro2,boro-boro
boss,bos
bosss,bos
bp,bapak
br,baru
brangkat,berangkat
brani,berani
brapa,berapa
brarti,berarti
brenaninya,beraninya
brgerak,bergerak
brhsl,berhasil
brjalan,berjalan
broo,bro
brp,berapa
brpa,berapa
brsalah,bersalah
bs,bisa
bsa,bisa
bsngun,bangun
btw,ngomong-ngomong
buang2,buang-buang
bubakan,bubarkan
bubarkaaannn,bubarkan
bubarkan2,bubarkan-bubarkan
bubarkann,bubarkan
bubarkar,bubarkan
bubarkeun,bubarkan
bubarkn,bubarkan
bubarr,bubar
bubatkan,bubarkan
bubuarkan,bubarkan
budak2,budak-budak
bukanya,bukannya
buktikn,buktikan
buktiny,buktinya
buparkan,bubarkan
buruh2,buruh-buruh
busa,bisa
buyarkan,bubarkan
bwt,buat
byak,banyak
byk,banyak
byr,bayar
cairr,cair
cairrr,cair
calon2,calon-calon
campurny,campurnya
capekk,capek
cari2,cari-cari
cepat2,cepat-cepat
cewe2,cewek-cewek
chaosi,chaos
chaoss,chaos
cm,cuma
cmn,cuma
cnderung,cenderung
cocotnya,mulutnya
congor,mulut
cpt,cepat
cranya,caranya
cthnya,contohnya
culas,curang
cuman1,hanya 1
cuuuy,cuy
cuyyy,hei
d,di
d4ri,dari
da,ada
da,dan
daerah2,daerah-daerah
dah,sudah
dalan,dalam
dalng,dalang
damayan,damaian
dang,dan
danketidakpuasan,dan ketidakpuasan
dann,dan
dansri,dan sri
dapet,dapat
dar,dari
dara,darah
daridulu,dari dulu
daridulu,dari dulu 
data2,data-data
datelinepun,deadlinepun
de,dik
dech,deh
deek,adik
degantuntutan,dengan tuntutan
dehancur,hancur
dei,dari
dek,adik
dekret,dekrit
demo2x,demo-demo
demon,demo
demonnya,demonya
demooo,demo
denger2,denger-denger
depr,dpr
deui,lagi
dewe,sendiri
dg,dengan
dgn,dengan
dholim,zalim
diahirat,di akhirat
diakawal,dikawal 
diam2,diam-diam
diapus,dihapus
diatas,di atas
didalam,di dalam
didepan,di depan
didhalimi,dizalimi
diemkan,diamkan
digebuk2,digebuk-gebuk
digedung,di gedung
dihkm,dihukum
dijwb,dijawab
dikatan,dikatakan
dilalukan,dilakukan 
dilihat2,dilihat-lihat
dimana2,dimana-mana
dimasukan,dimasukkan
dimn,di mana
dinaikn,dinaikin
dinegri,di negeri
dinkri,di nkri
dipili,dipilih
dipili,sipil
disahkanpemerintah,disahkan pemerintah
disalahkanpemerintah,disalahkan pemerintah
disalhkn,disalahkan
disem,disembunyikan
disuru,disuruh
disyahkannya,disahkannya
dita,sita
ditawar2,ditawar-tawar
diterima2,diterima-terima
ditrima,diterima
ditudu,dituduh
diulur2,diulur-ulur
dket,dekat
dkk,dan kawan-kawan
dl,dulu
dlam,dalam
dll,dan lain-lain
dlm,dalam
dlu,dulu
dmiskinkan,dimiskinkan
dn,dan
dngan,dengan
dngn,dengan
doang,saja
doank,doang
donk,dong
dooangann,doang
doooong,dong
dpdr,dprd
dprr,dpr
dpt,dapat
dptkn,dapatkan
dqn,dan
dr,dari
dri,dari
drpd,daripada
dsitulah,disitulah
dsn,dan
dsni,di sini
dst,dan seterusnya
dtang,datang
dudah,sudah
duit,uang
duk2,duduk
dulor2,saudara-saudara
duragukan,diragukan
dwmo,demo
dy,dia
dzalimnya,zalimnya
dzolim,zalim
ecek,remeh
ecekkk,remeh
egara,negara
egk,tidak
egoiss,egois
eksekutip,eksekutif
ekslusif,eksklusif
elegal,ilegal
elite2,elite-elite
elu,kamu
emaknya,ibunya
embel2,embel-embel
emg,emang
emng,emang
emosinl,emosional
enak2,enak-enak
enak2kn,enak-enakan
enersi,energi
enteng,ringan
entenggg,enteng
enyaaahhh,pergi
epek,efek
erampok,perampok
ewan,dewan
extrem,ekstrem 
fak,fuck
fakuktas,fakultas
fasiliras,fasilitas
fasumm,fasum
feeling,perasaan
ferr,fair
fikontenini,di konten ini
fisi,visi
focus,fokus
fokusss,fokus
full,penuh
g,tidak
ga,tidak
gaaas,gas (lanjutkan)
gaakan,tidak akan
gaess,guys
gajih,gaji
gajiiii,gaji
gak,tidak
ganjos,keren
gara2,gara-gara
gede,besar
gede2,gede-gede
gede2an,gede-gedean
gegara,gara-gara
gerakn,gerakan
geratis,gratis
ges,guys
gga,tidak
gh,tidak
gi,gitu
gila2,gila-gilaan
gila2an,gila-gilaan
gilongan,golongan
gimna,gimana
gina,guna
gini,ini
giur,tergiur
gji,gaji
gk,tidak
glinda,gerinda
gmn,gimana
gndut,gendut
golonngan,golongan
goyahkn,goyahkan
gt,gitu
gtu,gitu
gua,saya
gubar,bubar
gubarkan,bubarkan
gue,saya
gunaka,guna
guyss,guys
gw,saya
gx,gak
habis2an,habis-habisan
hacurkan,hancurkan
hadeeh,haduh
hadehhhhh,haduh
hadirrrr,hadir
hak2,hak-hak
hak2nya,hak-haknya
hakim2,hakim-hakim
hal2,hal-hal
hambur2,hambur-hamburkan
hancurla,hancurlah
hancurrrrrrrrrkann,hancurkan
hannya,hanya
hapuskn,hapuskan
haramm,haram
harga2,harga-harga
haris,harus
hars,harus
hartabenda,harta benda
harusya,harusnya
hati2,hati-hati
hawatir,khawatir
hbisi,habisi
hbs,habisi
hebatttap,hebat
helata,jelata
hiiiiihhh,hih
hil,hal
hilang2,hilang-hilang
hlg,hilang
hnya,hanya
hpus,hapus
hpuskan,hapuskan
hr,hari
hr,harus
hrg,harga
hrgnya,harganya
hrs,harus
hrus,harus
hti,hati
hukumn,hukum
hukumn,hukuman
hy,hanya
iaitu,yaitu
iangan,jangan
ibu2,ibu-ibu
ibuk,ibu
idiologi,ideologi
iku,ikut
imgin,ingin
indinesia,indonesia
indo,indonesia
indobesia,indonesia
indonesaia,indonesia
indonesi,indonesia
indrpenden,independen
infulencer,influencer
ingan,ingat
ingatt,ingat
inget,ingat
inijangan,ini jangan
inirakyat,ini rakyat
injak2,injak-injak
inkrah,ingkar
instuainya,institusinya
intel2,intel-intel
intropeksi,introspeksi
intuk,untuk
isu2,isu-isu
isyu,isu
it,itu
itu2,itu-itu
itukn,itu kan
iya2,iya-iya
ja,saja
jadikn,jadikan
jado,jadi
jadu,jadi
jagan,jangan
jaman,zaman
jangan2,jangan
janganmpai,jangan sampai
janji2,janji
janji2,janji-janji
janjindoang,janji doang
jarah2,jarah
jau,jauh
jauh2,jauh-jauh
jd,jadi
jdi,jadi
jdi,jadi 
jemblos,coblos
jepolisian,kepolisian
jerah,jera
jg,juga
jga,juga
jgan,jangan
jgana,jangan
jgn,jangan
jgn,juga
jgn2,jangan-jangan
jidad,jidat
jilbap,kerudung
jjika,jika
jkt,jakarta
jkw,jokowi
jkw,jokowi 
jln,jalan
jls,jelas
jmlh,jumlah
jng,jangan
jngan,jangan
jngn,jangan
joged,joget
joget2,joget-joget
joget2,joget-joget 
jokiwi,jokowi
jokowidodo,joko widodo
jongos,budak
joooooos,keren
jorup,korupsi
jos,keren
jt,juta
judoll,judol
jugaaa,juga
jujuir,jujur
justeru,justru
jwb,jawab
jwbn,jawaban
jwwb,jawab
k,ke
kabulkn,kabulkan
kabupatin,kabupaten
kacaw,kacau
kacung,budak
kadal2an,kadal-kadalan
kadang2,kadang-kadang
kaga,tidak
kagak,tidak
kainnya,lainnya
kakitangannya,kaki tangannya 
kalao,kalau
kaleee,kali
kalianberubah,kalian berubah
kalianlah,kalian lah 
kalianlicik,kalian licik 
kalianpara,kalian para
kalo,kalau
kalopun,kalaupun
kalu,kalau
kampung2,kampung-kampung
kanann,kanan
kapok2,kapok
karana,karena 
karana,karena
karitu ,begitu
karna,karena 
karyawan2,karyawan-karyawan
kasi,kasih
kasik,kasih
kataya,katanya
katena,karena
kau,kamu
kawall,kawal
kawallah,kawal lah
kawalll,kawal
kawalllllll,kawal
kawan2,kawan-kawan
kayak,seperti
kayakx,kayaknya
kbanyakan,kebanyakan
kbijakan,kebijakan
keadlilan,keadilan
kebiadanban,kebiadaban
kebijakan2,kebijakan-kebijakan
keburukan2,keburukan-keburukan
kedholiman,kezaliman
kedoliman,kezaliman
kehairan,kehadiran
keinaikn,kenaikan
kejaaammmm,kejam
kek,seperti 
kekampus,ke kampus
kekayaan2,kekayaan-kekayaan
kelaarrr,kelar
kelar2,kelar-kelar
kelompok2,kelompok-kelompok
keluarga2,keluarga-keluarga
kemana2,kemana-mana
kemaren,kemarin
kemaren ,kemarin
kenkopolhukam,menkopolhukam
kepala2,kepala-kepala
kepannya,kedepannya
keparaattt,keparat
kepengusaha2,kepengusaha-pengusaha
kepetingan,kepentingan
kerana,karena
kerj,kerja
kerjaa,kerja
kerjan,kerjaan
kerje,kerja
kermh,ke rumah
kerna,karena
kerumah,ke rumah
kesalan,kekesalan
kesehannya,kesehatannya
kesing,tampilan
ketaua,ketauan
ketaui,ketahui
ketdk,ketidak
ketidak,ketidakadilan
ketimbang,dibandingkan
ketum2,ketum-ketum
kewangan,keuangan
kezholiman,kezaliman
kgk,nggak
khan,kan
kiat,kita
kibuli,dibohongi
kira2,kira-kira
kita2,kita-kita
kitak,kita
kiyamat,kiamat
kjalan,ke jalan
kkekcauan,kekacauan
kl,kalau
klakuan,kelakuan
klau,kalau 
klau,kalau
klewat,kelewat
kllo,kalau
klo,kalau
klobukan,kalau bukan
klompok,kelompok
klopun,kalaupun
klu,kalau
kluarkan,keluarkan
klw,kalau
kmbali,kembali
kmi,kami
kmnterian,kementrian
kmrn,kemarin
kn,kan
knp ,kenapa
knpa,kenapa
ko,kok
kog,kok
kok.bubarkn,kok bubarkan
kolap,collapse
kolep,collapse
komas,komnas
komndo,komando
komoha,konoha
komplen,komplain
kontrakrp50jt,kontrak rp 50 juta
kontrakrp5ojt,kontrak 50 juta
koq,kok
korba,korban
korea2,korea-korea
koropisi,korupsi
koropsi,korupsi
koruosi,korupsi
korup,korupsi
korupptor,koruptor
korups,korupsi
korupsi2,korupsi-korupsi
korupsih,korupsi
korupsih.itu,korupsi itu
korupst,korupsi
koruptor.rusak,koruptor rusak
koruptor2,koruptor-koruptor
koruptot,koruptor
kostl,kost
kpan,kapan
kpd,kepada
kpn,kapan
kqrena,karena
krbutuhan,kebutuhan
krinier,kinerja
krjanya,kerjanya
krn,karena
krn,karena 
krsrakahan,keserakahan 
ksh,kasih
ksmi,kami
kt,kita
kuatir,khawatir
kucing2an,kucing
kuhut,luhut
kurleb,kurang lebih
kuropspsi,korupsi
kurupsi,korupsi
kuwat,kuat
kuyo2,kuyo
kwalitas,kualitas
kwan,kawan
kwatir,khawatir
kwmiskinan,kemiskinan
kwpolisian,kepolisian
ky,kayak
kya,kaya
kyak,kayak
kykny,kayaknya
kyknya,kayaknya
la,lah
laaah,lah
laen,lain
laen,lain 
lagi2,lagi-lagi
lagih,lagi
lagiiiii,lagi
lagipula,lagi pula
lainya,lainnya
lajut,lanjut
laksana,laksanakan
laksanaka,laksanakan
lama2,lama-lama
lamaaaaaa,lama
lamhay,lambat
lanjutken,lanjutkan
lanjutkn,lanjutkan
lanjuuuuut,lanjut
laporanny,laporannya
larena,karena
lbeh,lebih
lbh,lebih
lbih,lebih
legowo,lapang dada
lembaga2,lembaga-lembaga
lental,mental
lenyapmenjijikan,lenyap menjijikan
lg,lagi
lgi,lagi
lgi2,lagi-lagi
lgs,langsung
lha,lah
lho,loh
lht,lihat
liat,lihat
lihatwajah,lihat wajah
lihatwajah,lihat wajah 
lindungilh,lindungilah
lncar,lancar
lngsung,langsung
lo,kamu
loe,loh
loo,loh
looh,loh
luarbisa,luar biasa
luasx,luasnya
lupang,lubang
lwt,lewat
ma,sama
macam2,macam-macam
madalah,masalah
maen,main
maenan,mainan
maha2,mahal-mahal
mahacasis,mahasiswa
mahal2,mahal-mahal
mahasiswakalian,mahasisswa kalian
mahasiwa,mahasiswa
mahasiwi,mahasiswi
mahu,mau
mahukan,mau
majuu,maju
makah,malah
makn,makan
mala,malah
malai,mulai
maling2,maling-maling
mallum,maklum
mamakai,memakai
mana2,mana
manaaa,mana
mangan,makan
mangkanyagercep,makanya gercep
mantaaap,mantap
manusia2,manusia-manusia
maraoke,merauke
mas8h,masih
masaa,massa
masadepan,masa depan
masarakat,masyarakat
masharakat,masyarakat
masing2,masing-masing
masiswa,mahasiswa
maslaah,masalah
maslah,masalah
maslahnya,masalahnya
maslh,masalah
masrakat,masyarakat
masslah,masalah
